year,make,model,body_style(s),image_source(s),recall(s)
2017,Acura,ILX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/10421/2017-Acura-ILX-front-angle3_10421_089_640x480.jpg?interpolation=high-quality&downsize=391:*'},"[{u'NHTSACampaignNumber': u'19V052000', u'Conequence': u'If the fuel gauge displays that the vehicle has more gas than it actually does, the vehicle may run out of gas and stall, increasing the risk of a crash.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY', u'Summary': u'Acura (American Honda Motor Co.) is recalling certain 2014-2019 Acura ILX vehicles.  The vehicles may have a deformed fuel tank, raising the height of the fuel pump and allowing the fuel level float to stick, possibly causing the fuel gauge to display an inaccurate fuel level.', u'Remedy': u""Acura will notify owners, and dealers will inspect and, as necessary, replace the fuel tank, free of charge.  The recall began March 14, 2019.  Owners may contact Acura customer service at 1-888-234-2138.  Acura's number for this recall is H3U, Z3T."", u'ModelYear': u'2017', u'Model': u'ILX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1548306000000-0500)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}, {u'NHTSACampaignNumber': u'19V424000', u'Conequence': u'A separated driveshaft can cause the vehicle to have a loss of drive or allow the vehicle to move even while in Park, increasing the risk of a crash or injury.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'POWER TRAIN:DRIVELINE:DRIVESHAFT', u'Summary': u'Acura (American Honda Motor Co.) is recalling certain 2016-2019 Acura ILX vehicles.  Excessive grease may prevent the set-ring on the half shaft from fully engaging, allowing the driveshaft to separate from the half shaft.', u'Remedy': u""Acura will notify owners, and dealers will inspect, and, as necessary, replace the driveshaft and half shaft, free of charge.  The recall began August 1, 2019.  Owners may contact Acura customer service at 1-888-234-2138.  Acura's number for this recall is G54."", u'ModelYear': u'2017', u'Model': u'ILX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1559793600000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}]"
2017,Acura,MDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11319/2017-Acura-MDX-360SpinFrame_11319_032_2400x1800.png?interpolation=high-quality&downsize=391:*'},"[{u'NHTSACampaignNumber': u'18V777000', u'Conequence': u'A reduction of braking performance increases the risk of a crash.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2017-2019 Acura MDX, 2017-2018 Acura MDX Sport Hybrid, 2018-2019 Honda HR-V and Honda Odyssey, and 2016 Honda HR-V vehicles.  The rear brake caliper pistons may have an insufficient coating, causing gas pockets to form, reducing brake performance.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 135, ""Light Vehicle Brake Systems.""', u'Remedy': u""Owners will be notified, and Honda or Acura dealers will bleed the brakes, free of charge.  The recall began December 11, 2018.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are C31 and L30."", u'ModelYear': u'2017', u'Model': u'MDX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1541044800000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}, {u'NHTSACampaignNumber': u'19V060000', u'Conequence': u'Reduced fuel pump performance can result in an engine stall, increasing the risk of crash. ', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'FUEL SYSTEM, OTHER:DELIVERY:FUEL PUMP', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2016-2018 Acura MDX, 2015-2019 Acura TLX and 2015-2017 Honda Accord vehicles, equipped with a 3.5L V6 engine.  Particulates in fuel may adhere to the internal components of the fuel pump, reducing its performance.', u'Remedy': u""Honda will notify owners, and dealers will update the fuel injection engine control unit (FI-ECU) software and, if necessary, replace the fuel pump, free of charge.  The recall began March 25, 2019.  Owners may contact customer service at 1-888-234-2138.  Acura's recall number for this recall is P3W.  Honda's recall number for this recall is N3X."", u'ModelYear': u'2017', u'Model': u'MDX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1548738000000-0500)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}, {u'NHTSACampaignNumber': u'19V256000', u'Conequence': u""Loss of the taillights reduces the vehicle's visibility, increasing the risk of crash."", u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'EXTERIOR LIGHTING | EXTERIOR LIGHTING:TAIL LIGHTS', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2014-2019 Acura MDX and 2017-2019 Acura MDX Sport Hybrid vehicles. Moisture may enter the tailgate lid lights, possibly causing a loss of the tailgate lid lights and the taillights.', u'Remedy': u""Acura will notify owners, and dealers will modify the tailgate lid lights and install updated gaskets and a wiring sub-harness or will replace both tailgate lid lights.  The repairs will be performed free of charge.  The recall began May 7, 2019.  Owners may contact Acura customer service at 1-888-234-2138.  Acura's number for this recall is M49."", u'ModelYear': u'2017', u'Model': u'MDX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1553745600000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}]"
2017,Acura,MDX Sport Hybrid,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-MDX%20Sport%20Hybrid-FrontSide_ATMDXSH1701_640x480.jpg?interpolation=high-quality&downsize=391:*'},"[{u'NHTSACampaignNumber': u'18V777000', u'Conequence': u'A reduction of braking performance increases the risk of a crash.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2017-2019 Acura MDX, 2017-2018 Acura MDX Sport Hybrid, 2018-2019 Honda HR-V and Honda Odyssey, and 2016 Honda HR-V vehicles.  The rear brake caliper pistons may have an insufficient coating, causing gas pockets to form, reducing brake performance.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 135, ""Light Vehicle Brake Systems.""', u'Remedy': u""Owners will be notified, and Honda or Acura dealers will bleed the brakes, free of charge.  The recall began December 11, 2018.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are C31 and L30."", u'ModelYear': u'2017', u'Model': u'MDX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1541044800000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}, {u'NHTSACampaignNumber': u'19V060000', u'Conequence': u'Reduced fuel pump performance can result in an engine stall, increasing the risk of crash. ', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'FUEL SYSTEM, OTHER:DELIVERY:FUEL PUMP', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2016-2018 Acura MDX, 2015-2019 Acura TLX and 2015-2017 Honda Accord vehicles, equipped with a 3.5L V6 engine.  Particulates in fuel may adhere to the internal components of the fuel pump, reducing its performance.', u'Remedy': u""Honda will notify owners, and dealers will update the fuel injection engine control unit (FI-ECU) software and, if necessary, replace the fuel pump, free of charge.  The recall began March 25, 2019.  Owners may contact customer service at 1-888-234-2138.  Acura's recall number for this recall is P3W.  Honda's recall number for this recall is N3X."", u'ModelYear': u'2017', u'Model': u'MDX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1548738000000-0500)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}, {u'NHTSACampaignNumber': u'19V256000', u'Conequence': u""Loss of the taillights reduces the vehicle's visibility, increasing the risk of crash."", u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'EXTERIOR LIGHTING | EXTERIOR LIGHTING:TAIL LIGHTS', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2014-2019 Acura MDX and 2017-2019 Acura MDX Sport Hybrid vehicles. Moisture may enter the tailgate lid lights, possibly causing a loss of the tailgate lid lights and the taillights.', u'Remedy': u""Acura will notify owners, and dealers will modify the tailgate lid lights and install updated gaskets and a wiring sub-harness or will replace both tailgate lid lights.  The repairs will be performed free of charge.  The recall began May 7, 2019.  Owners may contact Acura customer service at 1-888-234-2138.  Acura's number for this recall is M49."", u'ModelYear': u'2017', u'Model': u'MDX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1553745600000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}]"
2017,Acura,NSX,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-NSX-FrontSide_ACNSX1701_640x480.jpg?interpolation=high-quality&downsize=391:*'},"[{u'NHTSACampaignNumber': u'18V599000', u'Conequence': u'Brake lights that do not work increase the risk of a crash.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'ELECTRICAL SYSTEM:FUSES AND CIRCUIT BREAKERS | EXTERIOR LIGHTING:BRAKE LIGHTS', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2017 Acura NSX vehicles.  Road vibrations may cause the metal screws that secure the printed circuit board for the high mounted center brake light to loosen and contact the circuitry, possibly resulting in the brake light fuse blowing and the brake lights not functioning.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""', u'Remedy': u""Honda will notify owners, and dealers will replace the center high mount brake light, free of charge.  The recall began November 2, 2018.  Owners may contact Acura Client Relations at 1-844-682-2872.  Honda's number for this recall is B2B. "", u'ModelYear': u'2017', u'Model': u'NSX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1536292800000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}, {u'NHTSACampaignNumber': u'18V600000', u'Conequence': u'A fuel leak in the presence of an ignition source can increase the risk of a fire.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2017-2018 Acura NSX vehicles.  The crossover pipe couplers between the left and right fuel tanks may leak.', u'Remedy': u""Honda will notify owners, and dealers will replace the left and right fuel tanks, free of charge.  The recall began February 12, 2019.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are U29, and Z28."", u'ModelYear': u'2017', u'Model': u'NSX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1536292800000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}]"
2017,Acura,RDX,['SUV'],{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11340/2017-Acura-RDX-front-angle3_11340_089_640x480.jpg?interpolation=high-quality&downsize=391:*'},"[{u'NHTSACampaignNumber': u'17V256000', u'Conequence': u'If the label information can be wiped away, the operator may not be able to refer to the information, possibly resulting in the vehicle being overloaded, which can increase the risk of a crash.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ', u'Component': u'EQUIPMENT:OTHER:LABELS', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2017 CR-V and Acura RDX vehicles.  The Certification Labels on the affected vehicles were printed with ink that may be inadvertently wiped away with an alcohol solvent.  As such, these vehicles fail to comply with the requirements of 49 CFR Part 567, ""Certification.""  ', u'Remedy': u""Honda and Acura will notify owners, and dealers will replace the Certification Label, free of charge.  The recall began June 2017.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are KF3 (CR-V)and KF4 (RDX)."", u'ModelYear': u'2017', u'Model': u'RDX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1492488000000-0400)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}]"
2017,Acura,RLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/house/2017/2017-Acura-RLX-FrontSide_ACRLX1701_640x480.jpg?interpolation=high-quality&downsize=391:*'},[]
2017,Acura,RLX Sport Hybrid,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11150/2017-Acura-RLX%20Sport%20Hybrid-360SpinFrame_11150_032_2400x1800.png?interpolation=high-quality&downsize=391:*'},[]
2017,Acura,TLX,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11411/2017-Acura-TLX-360SpinFrame_11411_032_2400x1800.png?interpolation=high-quality&downsize=391:*'},"[{u'NHTSACampaignNumber': u'19V060000', u'Conequence': u'Reduced fuel pump performance can result in an engine stall, increasing the risk of crash. ', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'FUEL SYSTEM, OTHER:DELIVERY:FUEL PUMP', u'Summary': u'Honda (American Honda Motor Co.) is recalling certain 2016-2018 Acura MDX, 2015-2019 Acura TLX and 2015-2017 Honda Accord vehicles, equipped with a 3.5L V6 engine.  Particulates in fuel may adhere to the internal components of the fuel pump, reducing its performance.', u'Remedy': u""Honda will notify owners, and dealers will update the fuel injection engine control unit (FI-ECU) software and, if necessary, replace the fuel pump, free of charge.  The recall began March 25, 2019.  Owners may contact customer service at 1-888-234-2138.  Acura's recall number for this recall is P3W.  Honda's recall number for this recall is N3X."", u'ModelYear': u'2017', u'Model': u'TLX', u'Make': u'ACURA', u'ReportReceivedDate': u'/Date(1548738000000-0500)/', u'Manufacturer': u'Honda (American Honda Motor Co.)'}]"
2017,Alfa Romeo,4C,['Coupe'],{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/evox/StJ/11130/2017-Alfa%20Romeo-4C-front-angle3_11130_089_640x480.jpg?interpolation=high-quality&downsize=391:*'},[]
2017,Alfa Romeo,Giulia,['Sedan'],{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/11848/2017-Alfa%20Romeo-Giulia-360SpinFrame_11848_032_2400x1800.png?interpolation=high-quality&downsize=391:*'},"[{u'NHTSACampaignNumber': u'18V636000', u'Conequence': u'Heat damage to the engine compartment wiring or components can increase the risk of a fire or it can cause an engine stall, increasing the risk of a crash.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'ELECTRICAL SYSTEM:WIRING | ENGINE AND ENGINE COOLING:ENGINE', u'Summary': u'Chrysler (FCA US LLC) is recalling certain 2017-2018 Alfa Romeo Giulia and 2018 Alfa Romeo Stelvio vehicles, equipped with 2.0L engines.  These engines may misfire causing the catalytic converter to overheat, possibly resulting in damage to the nearby wiring and engine components.', u'Remedy': u""Chrysler will notify owners, and dealers will inspect the vehicles for diagnostic codes, and update the engine control module software, free of charge.  The recall began October 10, 2018.  Owners may contact Chrysler customer service at 1-844-253-2872.  Chrysler's number for this recall is UA4."", u'ModelYear': u'2017', u'Model': u'GIULIA', u'Make': u'ALFA ROMEO', u'ReportReceivedDate': u'/Date(1536897600000-0400)/', u'Manufacturer': u'Chrysler (FCA US LLC)'}, {u'NHTSACampaignNumber': u'18V828000', u'Conequence': u'Brake fluid leaking onto the exhaust can increase the risk of a fire.', u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'ENGINE AND ENGINE COOLING:EXHAUST SYSTEM | SERVICE BRAKES, HYDRAULIC:POWER ASSIST:HYDRAULIC:HOSES, LINES/PIPING, AND FITTINGS', u'Summary': u'Chrysler (FCA US LLC) is recalling certain 2017-2018 Alfa Romeo Giulia vehicles equipped with GME 280HP engines and All Wheel Drive (""AWD"").  The brake fluid line may contact a coolant hose clamp, possibly causing brake fluid to leak onto the exhaust.', u'Remedy': u""Chrysler will notify owners, and dealers will install a bracket on the brake fluid line to prevent contact with the coolant hose clamp.  If damage is found on the brake line, it will be replaced, free of charge.  The recall began January 10, 2019.  Owners may contact Chrysler customer service at 1-800-853-1403.  Chrysler's number for this recall is UB9."", u'ModelYear': u'2017', u'Model': u'GIULIA', u'Make': u'ALFA ROMEO', u'ReportReceivedDate': u'/Date(1543208400000-0500)/', u'Manufacturer': u'Chrysler (FCA US LLC)'}, {u'NHTSACampaignNumber': u'19V148000', u'Conequence': u""The driver's inability to deactivate the ACC can increase the risk of crash. "", u'Notes': u'Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.', u'Component': u'FORWARD COLLISION AVOIDANCE: ADAPTIVE CRUISE CONTROL | SERVICE BRAKES, HYDRAULIC:ANTILOCK:CONTROL UNIT/MODULE ', u'Summary': u'FCA US LLC (Alfa Romeo) is recalling certain 2018-2019 Alfa Romeo Stelvio and 2017-2019 Giulia vehicles.  The Brake System Module (BSM) software may prevent the driver from disabling the Adaptive Cruise Control (ACC) after the traction control system detects a specific wheel slip.', u'Remedy': u'Alfa Romeo has notified owners, and dealers will update the BSM software, free of charge.  The recall began March 25, 2019.  Owners may contact Alfa Romeo customer service 1-800-853-1403.  The Alfa Romeo number for this recall is V27.', u'ModelYear': u'2017', u'Model': u'GIULIA', u'Make': u'ALFA ROMEO', u'ReportReceivedDate': u'/Date(1551416400000-0500)/', u'Manufacturer': u'Chrysler (FCA US LLC)'}]"
